time_step,volt,norm,NR,step_size
0.002n,1.52E-06,0.39,2,2p
0.004n,1.21E-06,0.21,3,2p
0.00715114n,2.59E-06,0.28,3,3.15114p
0.00915114n,1.18E-06,0.1,3,2p
0.0111511n,9.47E-07,0.13,3,2p
0.0131511n,1.17E-06,0.075,3,2p
0.0151511n,-1.37E-07,0.13,3,2p
0.0171511n,-1.70E-07,0.16,3,2p
0.0191511n,-9.05E-08,0.088,3,2p
0.0211511n,1.16E-06,0.048,3,2p
0.0231511n,-5.03E-08,0.047,3,2p
0.0251511n,-4.97E-08,0.046,3,2p
0.0271511n,-1.12E-07,0.11,3,2p
0.0291511n,-1.49E-07,0.14,3,2p
0.0311511n,-1.50E-07,0.14,3,2p
0.0331511n,-4.73E-08,0.044,3,2p
0.0351511n,-1.33E-07,0.13,3,2p
0.0371511n,-4.60E-08,0.043,3,2p
0.0391511n,-4.54E-08,0.042,3,2p
0.0411511n,-8.38E-08,0.081,3,2p
0.0431511n,-1.53E-07,0.14,3,2p
0.0451511n,-1.44E-07,0.13,3,2p
0.0471511n,-9.22E-08,0.089,3,2p
0.0491511n,-4.24E-08,0.039,3,2p
0.0511511n,-4.18E-08,0.039,3,2p
0.0531511n,-1.00E-07,0.097,3,2p
0.0551511n,-4.07E-08,0.038,3,2p
0.0571511n,-1.47E-07,0.14,3,2p
0.0591511n,-1.48E-07,0.14,3,2p
0.0611511n,-3.91E-08,0.036,3,2p
0.0631511n,-3.87E-08,0.036,3,2p
0.0651511n,-3.82E-08,0.036,3,2p
0.0671511n,-3.77E-08,0.035,3,2p
0.0691511n,-3.73E-08,0.035,3,2p
0.0711511n,-1.52E-07,0.14,3,2p
0.0731511n,-1.38E-07,0.13,3,2p
0.0751511n,-3.60E-08,0.034,3,2p
0.0771511n,-3.57E-08,0.033,3,2p
0.0791511n,-3.53E-08,0.033,3,2p
0.0811511n,-3.49E-08,0.032,3,2p
0.0831511n,-3.46E-08,0.032,3,2p
0.0851511n,-1.46E-07,0.14,3,2p
0.0871511n,-1.47E-07,0.14,3,2p
0.0891511n,-3.36E-08,0.031,3,2p
0.0911511n,-3.33E-08,0.031,3,2p
0.0931511n,-3.63E-08,0.031,3,2p
0.0951511n,-3.60E-08,0.031,3,2p
0.0971511n,-3.57E-08,0.03,3,2p
0.0991511n,-1.51E-07,0.14,3,2p
0.101151n,-1.41E-07,0.13,3,2p
0.103151n,-3.49E-08,0.03,3,2p
0.105151n,-3.48E-08,0.03,3,2p
0.107151n,-3.44E-08,0.029,3,2p
0.109151n,-3.43E-08,0.029,3,2p
0.111151n,-3.39E-08,0.029,3,2p
0.113151n,-1.44E-07,0.13,3,2p
0.115151n,-1.46E-07,0.14,3,2p
0.117151n,-3.33E-08,0.028,3,2p
0.119151n,-3.30E-08,0.028,3,2p
0.121151n,-3.28E-08,0.028,3,2p
0.123151n,-3.25E-08,0.028,3,2p
0.125151n,-3.23E-08,0.027,3,2p
0.127151n,-1.50E-07,0.14,3,2p
0.129164n,-1.40E-07,0.13,3,2.01324p
0.131183n,-3.19E-08,0.027,3,2.01883p
0.13324n,-3.24E-08,0.028,3,2.0569p
0.135313n,-3.24E-08,0.028,3,2.07239p
0.137434n,7.60E-08,0.074,3,2.12133p
0.139575n,-3.32E-08,0.028,3,2.14084p
0.141768n,-1.44E-07,0.13,3,2.19329p
0.143981n,-1.49E-07,0.14,3,2.213p
0.146248n,-1.32E-07,0.13,3,2.26665p
0.148534n,-3.17E-08,0.03,3,2.28592p
0.150874n,-8.47E-08,0.081,3,2.34082p
0.153235n,-3.25E-08,0.03,3,2.36027p
0.155652n,-1.19E-07,0.11,3,2.41692p
0.158089n,-1.22E-07,0.11,3,2.43704p
0.160584n,-3.39E-08,0.032,3,2.4957p
0.163101n,-3.40E-08,0.032,3,2.51664p
0.165678n,-3.46E-08,0.032,3,2.57738p
0.168277n,-3.47E-08,0.032,3,2.59913p
0.170939n,-1.35E-07,0.13,3,2.66197p
0.173624n,-1.33E-07,0.12,3,2.6845p
0.176373n,-3.61E-08,0.034,3,2.7495p
0.179146n,-3.62E-08,0.034,3,2.77282p
0.181986n,-3.68E-08,0.034,3,2.84005p
0.18485n,-1.00E-07,0.094,3,2.8642p
0.187784n,-1.01E-07,0.094,3,2.93374p
0.190743n,-4.76E-08,0.045,3,2.95875p
0.193774n,1.56E-06,0.046,3,3.0307p
0.19683n,6.00E-08,0.059,3,3.05661p
0.199961n,-1.12E-07,0.1,3,3.13105p
0.203119n,-1.12E-07,0.1,3,3.15789p
0.206354n,2.60E-06,0.11,3,3.23492p
0.209617n,2.81E-06,0.13,3,3.26273p
0.212959n,3.24E-06,0.17,3,3.34244p
0.216331n,3.44E-06,0.2,3,3.37126p
0.219784n,3.88E-06,0.26,3,3.45375p
0.223268n,4.04E-06,0.31,3,3.48361p
0.226837n,4.44E-06,0.39,3,3.56898p
0.230437n,4.53E-06,0.46,3,3.59993p
0.234125n,4.87E-06,0.57,3,3.68829p
0.237845n,4.93E-06,0.65,3,3.72037p
0.241657n,5.15E-06,0.76,3,3.81183p
0.245502n,5.16E-06,0.84,3,3.84508p
0.249442n,5.28E-06,0.95,3,3.93977p
0.253416n,3.95E-08,0.0077,4,3.97423p
0.257489n,4.02E-08,0.0084,4,4.07225p
0.262241n,5.58E-08,0.013,4,4.75251p
0.271024n,1.56E-07,0.039,4,8.78319p
0.288591n,-1.56E-09,0.00046,5,17.5664p
0.308591n,8.41E-06,0.099,5,20p
0.328591n,-2.01E-07,0.018,5,20p
0.348591n,-5.60E-06,0.56,4,20p
0.368591n,2.16E-08,0.0022,5,20p
0.388591n,2.19E-07,0.0042,5,20p
0.408591n,-4.23E-08,0.0012,6,20p
0.428591n,1.82E-07,0.039,6,20p
0.448591n,4.36E-08,0.0067,6,20p
0.468591n,8.13E-07,0.038,5,20p
0.488591n,1.28E-05,0.52,7,20p
0.508591n,-3.30E-07,0.059,7,20p
0.528591n,4.61E-05,0.92,5,20p
0.548591n,-8.62E-07,0.2,5,20p
0.568591n,-1.77E-07,0.025,6,20p
0.588591n,5.26E-07,0.0029,7,20p
0.608591n,6.22E-10,0.00038,8,20p
0.628591n,4.10E-08,0.031,7,20p
0.648591n,-7.18E-08,0.0018,6,20p
0.668591n,6.54E-07,0.015,7,20p
0.688591n,-7.82E-09,0.0062,9,20p
0.708591n,-3.30E-08,0.012,15,20p
0.728591n,2.68E-08,0.026,16,20p
0.748591n,7.14E-18,7.50E-12,8,20p
0.768591n,2.22E-05,0.42,9,20p
0.788591n,-4.13E-07,0.23,19,20p
0.808591n,1.82E-06,0.14,8,20p
0.828591n,4.22E-07,0.22,26,20p
0.848591n,-1.74E-06,0.49,12,20p
0.868591n,1.43E-06,0.0046,8,20p
0.888591n,6.26E-09,0.0012,11,20p
0.908591n,4.64E-07,0.066,10,20p
0.928591n,-4.88E-09,0.0029,6,20p
